feature,importance
slope,1.510914689898292
worldcover,1.4181416042684851
silt_15-30,0.7533143907819745
twi,0.48899043603718495
silt_5-15,0.389793183317714
ndvi,0.3508616049568306
cec_15-30,0.32541780436470885
bd_0_30,0.32279188624437566
sand_15-30,0.28997477701234053
bd_5-15,0.2157465387553075
ph_0-5,0.21503957566771403
bd_15-30,0.21079713770034567
B4,0.2037389700214524
evi,0.16804016434272345
cec_5-15,0.16156749737510598
sand_0_30,0.1583916105857928
sand_5-15,0.15198168575093537
clay_0_30,0.1464915359688387
silt_0_30,0.1413051768065637
ph_0_30,0.13531084770216287
B8,0.13087846982464638
ndmi,0.1028859380073602
soc_0_30,0.08968361708915772
ph_15-30,0.08623517805624284
cec_0-5,0.08147851862886955
ph_5-15,0.0771547472274798
bsi,0.06481003265411987
tri,0.025663790768753914
y,0.018318019450772122
clay_0-5,0.01042442426412006
sand_0-5,0.010318023266000115
B3,0.01015600031319961
x,0.008772133902937984
tpi,0.008028233105691906
aspect,0.007844709621785916
B2,0.007111173978648075
clay_5-15,0.004607916749522833
savi,0.002469658122189884
soc_rothc,0.0024072858841651546
dem,0.002329830835274749
cec_0_30,0.0014899432783296587
B12,0.001441846911473111
silt_0-5,0.0013314043340300976
clay_15-30,0.0011289741442996335
soc_0-5,0.0010060286255977862
soc_15-30,0.0009654013181136617
B11,0.000783406820878602
bd_0-5,0.00042816932305331674
soc_5-15,0.00010168601746327773
