source_node,target_node
0,1
0,11
0,12
0,2
0,22
0,13
0,23
0,24
1,0
1,2
1,12
1,13
1,11
1,3
1,23
1,14
2,3
2,1
2,13
2,12
2,14
2,0
2,4
2,24
3,4
3,2
3,14
3,13
3,15
3,1
3,5
3,25
4,3
4,5
4,15
4,16
4,14
4,6
4,2
4,26
5,6
5,4
5,16
5,17
5,15
5,7
5,3
5,27
6,5
6,7
6,17
6,16
6,18
6,4
6,8
6,28
7,6
7,8
7,18
7,17
7,19
7,5
7,9
7,29
8,9
8,7
8,19
8,18
8,20
8,6
8,10
8,30
9,10
9,8
9,20
9,21
9,19
9,7
9,31
9,18
10,9
10,21
10,20
10,8
10,32
10,19
10,31
10,30
11,12
11,0
11,22
11,1
11,23
11,13
11,33
11,2
12,11
12,13
12,1
12,23
12,0
12,2
12,22
12,24
13,12
13,14
13,2
13,24
13,3
13,1
13,25
13,23
14,13
14,15
14,3
14,25
14,4
14,2
14,26
14,24
15,14
15,16
15,4
15,26
15,5
15,3
15,25
15,27
16,17
16,15
16,5
16,27
16,6
16,4
16,28
16,26
17,16
17,18
17,6
17,28
17,5
17,7
17,27
17,29
18,19
18,17
18,7
18,29
18,6
18,8
18,30
18,28
19,20
19,18
19,8
19,30
19,9
19,7
19,29
19,31
20,21
20,19
20,9
20,31
20,10
20,8
20,30
20,32
21,20
21,10
21,32
21,9
21,31
21,19
21,43
21,8
22,23
22,33
22,11
22,34
22,12
22,24
22,0
22,44
23,22
23,24
23,34
23,12
23,33
23,35
23,13
23,11
24,23
24,25
24,35
24,13
24,36
24,34
24,12
24,14
25,24
25,26
25,36
25,14
25,35
25,37
25,13
25,15
26,25
26,27
26,37
26,15
26,36
26,38
26,16
26,14
27,28
27,26
27,38
27,16
27,39
27,37
27,17
27,15
28,27
28,29
28,39
28,17
28,38
28,40
28,16
28,18
29,30
29,28
29,40
29,18
29,41
29,39
29,19
29,17
30,31
30,29
30,41
30,19
30,42
30,40
30,18
30,20
31,30
31,32
31,42
31,20
31,43
31,41
31,19
31,21
32,31
32,43
32,21
32,42
32,20
32,30
32,10
32,54
33,34
33,22
33,44
33,23
33,45
33,35
33,55
33,11
34,33
34,35
34,23
34,45
34,22
34,24
34,46
34,44
35,36
35,34
35,46
35,24
35,25
35,45
35,47
35,23
36,35
36,37
36,47
36,25
36,46
36,24
36,48
36,26
37,38
37,36
37,26
37,48
37,25
37,27
37,47
37,49
38,39
38,37
38,27
38,49
38,28
38,50
38,26
38,48
39,38
39,40
39,28
39,50
39,27
39,49
39,51
39,29
40,41
40,39
40,29
40,51
40,52
40,50
40,30
40,28
41,42
41,40
41,30
41,52
41,29
41,53
41,51
41,31
42,43
42,41
42,53
42,31
42,32
42,30
42,54
42,52
43,42
43,54
43,32
43,31
43,53
43,41
43,63
43,21
44,45
44,33
44,55
44,56
44,34
44,46
44,64
44,22
45,44
45,46
45,34
45,56
45,57
45,55
45,33
45,35
46,47
46,45
46,57
46,35
46,34
46,56
46,58
46,36
47,48
47,46
47,36
47,58
47,35
47,57
47,37
47,59
48,47
48,49
48,59
48,37
48,60
48,36
48,38
48,58
49,50
49,48
49,60
49,38
49,39
49,59
49,37
49,51
50,49
50,51
50,39
50,60
50,38
50,40
50,48
50,52
51,52
51,50
51,40
51,41
51,61
51,39
51,49
51,53
52,53
52,51
52,61
52,41
52,40
52,42
52,62
52,50
53,52
53,54
53,42
53,62
53,63
53,41
53,61
53,43
54,53
54,63
54,43
54,42
54,62
54,52
54,74
54,32
55,56
55,64
55,44
55,45
55,65
55,57
55,33
55,75
56,57
56,55
56,65
56,45
56,46
56,66
56,64
56,44
57,58
57,56
57,66
57,46
57,45
57,65
57,47
57,67
58,57
58,59
58,67
58,47
58,68
58,48
58,46
58,66
59,60
59,58
59,48
59,68
59,47
59,49
59,67
59,69
60,59
60,69
60,49
60,70
60,50
60,48
60,68
60,58
61,62
61,52
61,72
61,73
61,51
61,53
61,71
61,63
62,63
62,61
62,73
62,53
62,72
62,52
62,54
62,74
63,62
63,74
63,54
63,53
63,73
63,61
63,43
63,85
64,65
64,55
64,75
64,56
64,76
64,66
64,86
64,44
65,64
65,66
65,56
65,76
65,55
65,57
65,77
65,75
66,67
66,65
66,57
66,77
66,56
66,58
66,78
66,76
67,68
67,66
67,58
67,78
67,57
67,59
67,79
67,77
68,67
68,69
68,59
68,79
68,58
68,60
68,80
68,78
69,70
69,68
69,60
69,80
69,59
69,81
69,79
69,71
70,69
70,71
70,81
70,60
70,80
70,82
70,68
70,72
71,70
71,72
71,82
71,61
71,81
71,83
71,69
71,73
72,73
72,71
72,61
72,83
72,62
72,82
72,84
72,74
73,72
73,74
73,62
73,84
73,63
73,61
73,85
73,83
74,73
74,63
74,85
74,62
74,84
74,72
74,96
74,54
75,76
75,86
75,64
75,87
75,65
75,77
75,97
75,55
76,75
76,77
76,87
76,65
76,88
76,86
76,64
76,66
77,76
77,78
77,88
77,66
77,89
77,87
77,67
77,65
78,79
78,77
78,89
78,67
78,90
78,88
78,68
78,66
79,80
79,78
79,90
79,68
79,91
79,89
79,69
79,67
80,81
80,79
80,91
80,69
80,92
80,90
80,70
80,68
81,80
81,82
81,92
81,70
81,91
81,93
81,69
81,71
82,81
82,83
82,93
82,71
82,92
82,94
82,72
82,70
83,82
83,84
83,94
83,72
83,93
83,95
83,71
83,73
84,85
84,83
84,95
84,73
84,94
84,96
84,72
84,74
85,84
85,96
85,74
85,95
85,73
85,83
85,107
85,63
86,87
86,75
86,97
86,76
86,98
86,88
86,64
86,108
87,86
87,88
87,76
87,98
87,77
87,75
87,99
87,97
88,87
88,89
88,77
88,99
88,78
88,76
88,98
88,100
89,90
89,88
89,78
89,100
89,77
89,79
89,101
89,99
90,89
90,91
90,79
90,101
90,78
90,80
90,100
90,102
91,92
91,90
91,80
91,102
91,81
91,79
91,103
91,101
92,91
92,93
92,81
92,103
92,80
92,82
92,102
92,104
93,92
93,94
93,82
93,104
93,83
93,81
93,105
93,103
94,95
94,93
94,83
94,105
94,82
94,84
94,106
94,104
95,96
95,94
95,84
95,106
95,83
95,85
95,107
95,105
96,95
96,85
96,107
96,84
96,106
96,94
96,74
96,118
97,98
97,108
97,86
97,109
97,87
97,99
97,75
97,119
98,97
98,99
98,109
98,87
98,110
98,108
98,86
98,88
99,100
99,98
99,110
99,88
99,109
99,111
99,89
99,87
100,99
100,101
100,111
100,89
100,112
100,110
100,90
100,88
101,100
101,102
101,112
101,90
101,111
101,113
101,91
101,89
102,103
102,101
102,113
102,91
102,114
102,112
102,92
102,90
103,102
103,104
103,114
103,92
103,113
103,115
103,91
103,93
104,105
104,103
104,115
104,93
104,114
104,116
104,94
104,92
105,104
105,106
105,116
105,94
105,117
105,115
105,95
105,93
106,107
106,105
106,117
106,95
106,116
106,118
106,94
106,96
107,106
107,118
107,96
107,117
107,95
107,105
107,85
107,129
108,109
108,97
108,119
108,98
108,120
108,110
108,130
108,86
109,108
109,110
109,120
109,98
109,119
109,121
109,99
109,97
110,109
110,111
110,121
110,99
110,122
110,100
110,120
110,98
111,110
111,112
111,122
111,100
111,123
111,99
111,121
111,101
112,113
112,111
112,123
112,101
112,124
112,100
112,122
112,102
113,114
113,112
113,102
113,124
113,125
113,103
113,101
113,123
114,113
114,115
114,125
114,103
114,124
114,102
114,126
114,104
115,116
115,114
115,126
115,104
115,125
115,103
115,127
115,105
116,115
116,117
116,127
116,105
116,126
116,104
116,106
116,128
117,118
117,116
117,106
117,128
117,127
117,129
117,105
117,107
118,117
118,129
118,107
118,128
118,106
118,116
118,140
118,96
119,120
119,108
119,130
119,109
119,131
119,121
119,97
119,132
120,121
120,119
120,131
120,109
120,110
120,132
120,130
120,108
121,120
121,122
121,110
121,132
121,109
121,111
121,131
121,133
122,121
122,123
122,133
122,111
122,110
122,132
122,134
122,112
123,124
123,122
123,112
123,134
123,113
123,111
123,133
123,135
124,125
124,123
124,113
124,135
124,136
124,114
124,112
124,134
125,124
125,126
125,114
125,136
125,135
125,113
125,137
125,115
126,127
126,125
126,115
126,137
126,136
126,114
126,138
126,116
127,126
127,128
127,138
127,116
127,139
127,137
127,115
127,117
128,127
128,129
128,139
128,117
128,140
128,116
128,138
128,118
129,128
129,118
129,140
129,117
129,139
129,127
129,107
129,138
130,131
130,119
130,120
130,132
130,108
130,121
130,109
130,110
131,132
131,130
131,120
131,121
131,119
131,133
131,109
131,122
132,133
132,131
132,121
132,120
132,122
132,134
132,130
132,110
133,132
133,134
133,122
133,121
133,123
133,135
133,131
133,111
134,135
134,133
134,123
134,122
134,124
134,136
134,132
134,112
135,136
135,134
135,124
135,125
135,123
135,137
135,133
135,113
136,135
136,137
136,125
136,124
136,126
136,134
136,138
136,114
137,136
137,138
137,126
137,127
137,125
137,135
137,139
137,115
138,137
138,139
138,127
138,126
138,128
138,140
138,136
138,116
139,140
139,138
139,128
139,129
139,127
139,137
139,117
139,126
140,139
140,129
140,128
140,138
140,118
140,127
140,117
140,116
