source,target,distance,weight
0,1,250.14627313625533,0.571668187562111
0,11,259.4569284634199,0.5479349036052611
0,12,360.40401730784055,0.3132369532460396
0,2,500.29254627251066,0.10680119211627108
0,22,518.9138569275383,0.0901396492827791
0,13,563.5694540901808,0.05852010090715598
0,23,576.0596747519928,0.051529969932970626
0,24,720.8080346161839,0.009627022000343391
1,0,250.14627313625533,0.571668187562111
1,2,250.14627313625533,0.571668187562111
1,12,259.4569284634199,0.5479349036052611
1,13,360.40401730784055,0.3132369532460396
1,11,360.40401730784055,0.3132369532460396
1,3,500.29254627251066,0.10680119211627108
1,23,518.9138569275383,0.0901396492827791
1,14,563.5694540901808,0.05852010090715598
2,3,250.14627313625533,0.571668187562111
2,1,250.14627313625533,0.571668187562111
2,13,259.4569284634199,0.5479349036052611
2,12,360.40401730784055,0.3132369532460396
2,14,360.40401730784055,0.3132369532460396
2,0,500.29254627251066,0.10680119211627108
2,4,500.29254627251066,0.10680119211627108
2,24,518.9138569275383,0.0901396492827791
3,4,250.14627313625533,0.571668187562111
3,2,250.14627313625533,0.571668187562111
3,14,259.4569284634199,0.5479349036052611
3,13,360.40401730784055,0.3132369532460396
3,15,360.40401730784055,0.3132369532460396
3,1,500.29254627251066,0.10680119211627108
3,5,500.29254627251066,0.10680119211627108
3,25,518.9138569275383,0.0901396492827791
4,3,250.14627313625533,0.571668187562111
4,5,250.14627313625533,0.571668187562111
4,15,259.4569284634199,0.5479349036052611
4,16,360.40401730784055,0.3132369532460396
4,14,360.40401730784055,0.3132369532460396
4,6,500.29254627239425,0.10680119211638225
4,2,500.29254627251066,0.10680119211627108
4,26,518.9138569275383,0.0901396492827791
5,6,250.14627313613892,0.5716681875624086
5,4,250.14627313625533,0.571668187562111
5,16,259.4569284634199,0.5479349036052611
5,17,360.4040173077598,0.3132369532462026
5,15,360.40401730784055,0.3132369532460396
5,7,500.29254627239425,0.10680119211638225
5,3,500.29254627251066,0.10680119211627108
5,27,518.9138569275383,0.0901396492827791
6,5,250.14627313613892,0.5716681875624086
6,7,250.14627313625533,0.571668187562111
6,17,259.4569284634199,0.5479349036052611
6,16,360.4040173077598,0.3132369532462026
6,18,360.40401730784055,0.3132369532460396
6,4,500.29254627239425,0.10680119211638225
6,8,500.29254627251066,0.10680119211627108
