model,fold,rmse,mae,r2
GraphSAGE,0,3.4802700259822696,3.436127369295349,-0.4539635827991346
GraphSAGE,1,3.7031531752032034,3.682694764730995,0.4636525951025289
GraphSAGE,2,4.894426256489323,4.585058868121967,0.08644536621042809
GraphSAGE,3,4.992795275203221,4.478024156543483,0.3081468096441672
GraphSAGE,4,3.6850438541866417,3.6503176465000062,0.3378020305297169
GAT,0,3.544901218557742,3.501015883376986,-0.5084673763948182
GAT,1,3.69636823688532,3.6827898530142154,0.4656161921302038
GAT,2,4.843527413652323,4.533427982316033,0.1053473139832608
GAT,3,5.112797388962318,4.661222996941339,0.27448967691386283
GAT,4,3.7623512106596193,3.7291016583775063,0.30972651504054083
PE-GNN,0,3.6620439449541418,3.621578554005216,-0.6098104780380562
PE-GNN,1,3.6085123158565016,3.5866134445346045,0.49071695875307897
PE-GNN,2,4.895586904976617,4.597384957787261,0.08601204002748675
PE-GNN,3,5.050991629053067,4.569604955959838,0.2919242381625887
PE-GNN,4,3.707300124796099,3.6721815964866105,0.32977902514084445
